outcome,mean_T,mean_C,ATT,SE,t,p,CI_lo,CI_hi,n
CHE@10%,0.300518876364287,0.33365539452495974,-0.03313651816067275,0.00393196064607352,-8.427479607091968,0.0,-0.04084316102697685,-0.025429875294368652,27945
CHE@25%,0.15004473072105923,0.1730542136339238,-0.023009482912864556,0.003120489973364556,-7.373676284578928,1.7053025658242404e-13,-0.029125643260659084,-0.016893322565070028,27945
OOP share (%),15.096931821662578,17.8384368633878,-2.74150504172522,0.437314059174772,-6.268961594554135,3.6877234599330677e-10,-3.5986405977077727,-1.8843694857426667,27945
